Name	Materials	Instructions
Sharpie Tie Dye	"Sharpie Markers in Blue, Red, And Yellow I recommend using a light blue! The dark blue doesn’t mix as well with other colors.
    Plain White T-shirts  or T- shirt fabric
    Large Embroidery Hoop (10-Inch)
    Eye Droppers 
    Plate
    Small Bowl
    70% Isopropyl Rubbing Alcohol
    Retayne (optional for making it colorfast)"	"    Step One Use the embroidery hoop to tighten a section of fabric at the front of the shirt
    Step Two Use your red, yellow, and blue Sharpies to draw all over the shirt. Add a good layer of color. For the best color mixing demonstration you can use bull’s-eye designs with alternating red, yellow, and blue circles.
    Step Three When the design is complete, slip a plate inside the shirt under the embroidery hoop to catch any rubbing alcohol that may seep through.
    Step Four Pour rubbing alcohol into a small bowl. Using an eye dropper begin dropping rubbing alcohol on the t-shirt. If you have bull’s-eye designs drop the alcohol in the center of each bull’s-eye. Within seconds you will see more colors appear! Green, orange and purple should be visible as the ink bleeds and mixes with the other colors.
    Step Five Get that t-shirt really saturated! Alternatively use the rubbing alcohol in a controlled manner to bleed and blend only certain parts of the shirt. Now let dry.
    Step Six Once it’s dry remove the embroidery hoop and iron your shirt."
Color Theory Candy	"Red, Blue, and Yellow Candy Melts
    Muffin Tin– for mixing only
    Craft Sticks
    Candy Mold- we used this one available at craft stores for a couple dollars.
    Spoons"	"    Step One Melt the candy following the directions on the bag. We melted ours in the microwave but if you don’t have a microwave you can melt them over a double boiler.
    Step Two Place the melted candy next to the muffin tin and candy molds. Ask your child to add a spoonful of two primary colors to one of the muffin cups and stir using a craft stick to create a secondary color.
    Step Three When your color is mixed use the craft stick to transfer some of the melted candy to the candy mold.
    Step Four Repeat to make different colors. Don’t forget to make a few candies from your unmixed primary colors!
    Step Five When the candy mold is filled, take a craft stick and scrape the excess candy off the top of the mold.
    Step Six Place in the refrigerator to cool. This should take about 15-30 minutes
    Step Seven Once cooled, pop them out and enjoy!"
Stained Glass Pasta	"    Flat Pasta Lasagne
    Liquid Watercolors or Food Coloring
    Rubbing Alcohol
    Ziploc Baggies
    Clear Contact Paper OR two sheets of stickyback paper per “window”
    Scissors
    Painter’s Tape
    Black Sharpies- This type of tip works best"	"    Step One Break your lasagna noodles into pieces. There should be a variety of sizes.
    Step Two Color your pasta according to the tutorial above.
    Step Three Cut out two matching sizes of clear contact paper, ours were roughly 10” x 10”.
    Step Four Remove the backing from one piece of contact paper and tape it your work surface using painter’s tae. The sticky side should be facing UP.
    Step Five Have your child place pieces of the colored lasagna on the contact paper. They can custom break pieces as necessary. Leave at least  1/4″ gaps between the pieces. You may want to show them some examples of stained glass to illustrate why.
    Step Six Remove the backing from the second piece of contact paper and gently place it on top of the finished layout. Gently burnish the gaps with your fingertips to seal.
    Step Seven Using a wide tip Sharpie, fill in the gap between the colored pieces with black for a stained glass effect."
Shibori Fabric	"
    Rit Indigo Shibori Tie Dye Kit
    (2) 9"" x 7"" rectangles of 100% cotton fabric
    (2) Pieces of 1/4 inch elastic cut to 6.5 inches
    Plastic Container
    Binder Clips
    Salt
    Measuring Cup
    Plastic Table Cover
    Paper Towels
    Sewing Machine/Thread
    Rit ColorStay Dye Fixative"	"
    Cover work area with plastic table cover and have paper towels handy to protect against any possible spills.
    Wet fabric.
    To create a traditional Itajime pattern, accordion fold or “fan fold"" the fabric in 4 1/2"" wide folds down the length of the fabric. This will form a long rectangle. For more pattern variations, vary the size and width of the folds.
    Accordion fold or “fan fold"" the long rectangle into a 4 1/2"" fabric square.
    Sandwich the fabric square between the 4"" blocks of wood.
    Secure “sandwich"" with rubber bands to tightly hold the fabric square together.
    Fill a plastic container with 1.5 gallons of very hot water. The water should ideally be 140ºF. If tap water is not hot enough, heat water on the stove and add to the dye bath.
    To enhance the color add one cup of salt. Add 1 teaspoon of dish detergent to help promote level dyeing. Stir well.
    Wearing rubber gloves, add 1/4 cup of well-shaken Indigo dye to dye bath.
    Add sandwiched fabric to dye bath. For a high contrast pattern, keep the sandwiched fabric in the dye bath for about 3 to 5 minutes to keep the wrapped part dye-free. For more color and less white areas, leave the wrapped fabric set in the dye bath for 10 to 20 minutes.
    When desired color is achieved, remove wrapped fabric from the dye bath. Do not remove wood blocks.
    We strongly recommend using Rit ColorStay Dye Fixative immediately after dyeing and before washing. It enhances the color, increases color retention and prevents dye from bleeding into white areas. Follow package instructions.
    Rinse in cool water until rinse water begins to run clear.
    Carefully remove wood blocks and rubber bands. Unfold the fabric.
    Wash in warm water with a mild detergent, rinse and dry."
Glow Marbling Rocks	"
    Tulip Glow Dimensional Fabric Paint
    Rocks
    White acrylic paint
    Aleene's Tacky Glue
    Disposable cups
    Cooling rack"	"
    Cover rocks with white acrylic paint and allow to dry.
    In a cup, combine Tulip Glow Dimensional Fabric Paint with Aleene's Tacky Glue at a 2:1 ratio.
    Add a small amount of water if the mixture is too thick.
    Repeat with as many colors as you like. In a single cup, combine the desired colors one at a time.
    Prepare a cooling rack and place the dried white rocks on top. Add a piece of watercolor paper below the rack to catch the paint drippings.
    Pour the paint on top of the rock, adding multiple layers if desired.
    Dry for 24 hours."
Red Heart Fishnet Jars	"RED HEART Scrubby

Smoothie™: 1 ball 9205 Aqua or 9341 Grey

Mason jar, ruler, scissors, superglue, paperclip (Fringe version only)

GAUGE: Gauge is not critical for this project.

JARS"	"1. Measure the height of the jar. Cut 12 lengths of yarn 4 times the height of the jar.

2. Cut 1 length of yarn twice the size of the jar mouth circumference.

3. Fold the longer lengths in half. Tie each long length evenly across the shorter length, leaving space on both ends to tie to the mouth of the jar.

4. Tie the shorter length around the jar mouth and knot securely.

5. Starting on one end, tie and knot the long lengths in pairs 1"" (2.54 cm) below the jar mouth. You should have 6 knots total.

6. Tie and knot the doubled long lengths in pairs 1"" (2.54 cm) below the last knots, this time tying lengths together to form diamonds all the way around the jar.

7. Tie and knot the doubled long lengths in pairs 1"" (2.54 cm) below the last knots, this time tying the strands in pairs as you did in Step 5.

8. Repeat steps 6-7, alternating which strands you knot, until you reach the bottom edge of the jar.

FINISHING

Superglue a yarn tail to the jar mouth, then wrap yarn around the jar several times. Cut and superglue yarn end to secure.

Choose one of the following options:

Option 1: Fringe

When finished knotting around the jar, trim tails to about 1"" (2.5 cm). Use an unfolded paperclip to brush through the fringe ends, breaking apart the plies and making the fringe fluffier. Trim ends as needed.

Option 2: Net

Repeat steps 6-7 to work another round of knots as established. Flip jar upside down and pull all yarn to the center. Knot and superglue yarn ends to the bottom of the jar."
Resin Crystal Place Card Holder	"
    Color Pour Resin & Resin Hardener
    Color Pour Resin large crystal mold
    Color Pour Resin crushed glass clear
    Color Pour Resin holiday opaque dye
    Color Pour Resin holiday glitter
    Color Pour Resin supply kit
    Color Pour Resin heat gun
    Gold wire card holder (4-inch height)
    Paper place card
    Drill with 1/8"" drill bit"	"
    Wearing gloves from the Supply Kit, mix a small amount of equal parts resin and hardener according to package instructions.
    Add clear crushed glass to the prepared resin and stir. Pour into the large crystal mold. Apply heat with the Heat Gun to disperse any bubbles. Allow to cure until hard.

    Mix another small batch of equal parts resin and hardener according to package instructions.
    Add a few drops of gold opaque dye and stir slowly to achieve the desired color. Pour into mold over the cured layer. Apply heat with the Heat Gun to disperse any bubbles. Allow to cure until hard.

    Mix a 3rd small batch of equal parts resin and hardener according to package instructions.
    Add a few drops of red opaque dye and red glitter. Stir slowly to achieve the desired color. Pour into mold over cured layers. Apply heat with the Heat Gun to disperse any bubbles. Allow to cure until hard.

    Mix a 4th and final batch of equal parts resin and hardener according to package instructions.
    Add gold glitter and stir slowly. Pour into mold to create the final layer - fill mold to the top. Apply heat with the Heat Gun to disperse any bubbles. Allow to cure until hard.
    Remove crystal from mold.
    Use a drill with an 1/8"" bit to drill a small hole into the top of the finished crystal. Insert the gold wire card holder into the drilled hole, securing with a drop of glue if needed.

    Secure hand lettered placecard to wire."
Personalized Pencil Holder	"
    Polaroid 3D PlaySmart Printer
    Computer
    Polaroid SmartPrep software
    STL files (Can be downloaded from the Polaroid 3D model library via the Polaroid SmartPrep software)
    SD Card or USB Stick
    Glue
"	"
    Open the Polaroid SmartPrep software, and select the 'Library' button. This will take you to the Polaroid model library, where you can download the Pencil Holder Letters stl files that you need for your name.
    Open the files into Polaroid SmartPrep separately by clicking 'Add Model', then selecting the file you want to open. Ensure that the model is green, showing that it is printable. Make sure the model sits flat on the bed using the rotation buttons on the right-hand side, if necessary, and then select 'Place on Desktop'.
    Click on 'Print' at the top of the screen. Ensure that next to 'Filament Material', you have selected the correct filament that you are going to print in from the drop down, and the 'Print Quality' setting set to Normal.
    Select the 'Advanced Settings' button, under Model Base ensure that 'Brim' is selected from the drop down. Then select 'OK'.
    Click on the green 'Print' button, and SmartPrep will then estimate the time that the model will take to print and give you an estimation of the amount of filament that will be needed, giving you the opportunity to confirm that you have enough on your cartridge before you begin.
    Save the sliced model to your SD Card or USB.
    Repeat these steps for the rest of the letters.
    Load the filament into the printer. Place your filament cartridge on the Polaroid Precise Filament Holder & Scale, break off the end of the filament, as instructed in the User Guide for your Polaroid PlaySmart 3D printer, and insert it into the filament feeder until you can see 2cm of filament in the PTFE tube.
    Select the 'Filament' tab on the LCD screen, and then press 'Load'. The printer will take a few minutes to heat up, and then will load your filament automatically. Carefully remove the excess filament from the nozzle once the filament has finished loading.
    Make sure that your Polaroid PlaySmart 3D Printer is correctly calibrated and leveled. You can do this by going to the Settings menu and select 'Bed Leveling', and follow the on screen instructions. Then perform the 'Bed Calibration', and follow the on screen instructions for this also. (If you need further assistance with this, there are tutorial videos available on the Polaroid 3D YouTube channel).
    Insert your SD Card or USB into the corresponding port below the LCD screen on the printer. Select 'New Print' at the top of the LCD screen, select whether you are printing from USB or SD Card, and then select the file to print.
    Press confirm and your model will start to print. You will see the estimated time to print in the top right-hand corner.
    When your model has finished printing, allow the bed to cool down below 30 degrees, before removing your model from the print bed.
    Repeat these steps for the rest of the letters.
    Remove the brim from the models but pulling it off.
    Assemble the letters in the correct order and glue them together at the base."
Boo Ghost Hoop	"
    Tulip Slick Dimensional Fabric Paint: black, white
    Embroidery hoop
    Boo template
    Black & white ghost fabric
    Aleene's Fabric Fusion
    Orange & white ribbon
    Orange pom pom trim
    Pencil or chalk
    Scissors"	"
    Lay out the fabric making sure it is slightly larger than the hoop. Cut two pieces of ribbon that will be slightly longer than the width of the hoop.
    Use Aleene's Fabric Fusion to glue the two pieces of ribbon across the fabric.
    Place the fabric in the hoop and tighten.
    Glue orange pom pom trim to outline the top and bottom of the ribbon.
    Print out the Boo template and trim around the word. Turn the paper over and use the chalk or pencil to shade the back over the letters.
    Flip the paper over and place it on the ribbon. Use the pencil to trace the word with slight pressure.
    Remove the sheet of paper to reveal the light outline of the word.
    Trace the outline with the Tulip Slick in black.
    Use the Tulip Slick in white to trace the outlines of the ghosts on the fabric.
    Let the hoop completely dry before displaying."
Defying Gravity Science Experiment	"
    Polaroid 3D PlaySmart Printer
    Computer
    Polaroid SmartPrep software
    STL files (Can be downloaded from the Polaroid 3D model library via the Polaroid SmartPrep software)
    SD Card or USB Stick
    Glue"	"
    Open the Polaroid SmartPrep software, and select the 'Library' button. This will take you to the Polaroid model library, where you can download the Defying Gravity Science Experiment stl files. (You can also find these files via the Polaroid PlaySmart app where you can send them to print directly from your mobile device.)
    Open the file into Polaroid SmartPrep by clicking 'Add Model', then selecting the file you want to open. Ensure that the model is green, showing that it is printable. Make sure the model sits flat on the bed using the rotation buttons on the right-hand side, if necessary, and then select 'Place on Desktop'.
    Click on 'Print' at the top of the screen. Ensure that next to 'Filament Material', you have selected the correct filament that you are going to print in from the drop down, and the 'Print Quality' setting set to Normal.
    Select the 'Advanced Settings' button, under Model Base ensure that 'Brim' is selected from the drop down. Then select 'OK'.
    Click on the green 'Print' button, and SmartPrep will then estimate the time that the model will take to print and give you an estimation of the amount of filament that will be needed, giving you the opportunity to confirm that you have enough on your cartridge before you begin.
    Save the sliced model to your SD Card or USB.
    Repeat these steps for all parts of the Defying Gravity Science Experiment Model.
    Load the filament into the printer. Place your filament cartridge on the Polaroid Precise Filament Holder & Scale, break off the end of the filament, as instructed in the User Guide for your Polaroid PlaySmart 3D printer, and insert it into the filament feeder until you can see 2cm of filament in the PTFE tube.
    Select the 'Filament' tab on the LCD screen, and then press 'Load'. The printer will take a few minutes to heat up, and then will load your filament automatically. Carefully remove the excess filament from the nozzle once the filament has finished loading.
    Make sure that your Polaroid PlaySmart 3D Printer is correctly calibrated and leveled. You can do this by going to the Settings menu and select 'Bed Leveling', and follow the on screen instructions. Then perform the 'Bed Calibration', and follow the on screen instructions for this also. (If you need further assistance with this, there are tutorial videos available on the Polaroid 3D YouTube channel).
    Insert your SD Card or USB into the corresponding port below the LCD screen on the printer. Select 'New Print' at the top of the LCD screen, select whether you are printing from USB or SD Card, and then select the file to print.
    Press confirm and your model will start to print. You will see the estimated time to print in the top right-hand corner.
    When your model has finished printing, allow the bed to cool down below 30 degrees, before removing your model from the print bed.
    Remove the brim from the model but pulling it off.
    Repeat these printing steps for all parts of the Defying Gravity Science Experiment.
    Now it's time to put your science experiment together &-; what can you balance?"
